product,condition,approach,pose_source,arm,gripper,tilt_deg,piece,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_datum_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,datum_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,judge,entry_offset_mm,exit_offset_mm,angle_deg,drift_deg,judge_slip_mm,success,failure,wall_s
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,0,723.4439504842401,12.777374101588382,0.5486925729809109,32.413738800683866,success,0.0,0.0,0.0,0.0,success,success,success,0.6423593171944455,success,nan,nan,nan,1.0,1.0,0.6514658305717822,197.80003815364182,4.792705267148811,-32.4170801921583,4.613919503764897,-1.3085127061079365,0.13752567215596923,0.31984031500631754,1.2036592040951124,4.68399999999964,0,,nan,crossed,0.13856471388762337,0.13856042068116636,0.31984031500631754,-1.967295305562703e-06,1.4051758033424078e-05,True,,1.000901878986042
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,1,783.5249733627564,13.578132438509176,0.49267933352699034,52.95237065926178,success,0.0,0.0,0.0,0.0,success,success,success,0.5655275773228242,success,nan,nan,nan,1.0,0.0,0.6450252605311416,195.47546159753816,4.856105611524386,-52.94850430783988,2.3568998513708785,-0.857131256615782,0.9069463791192556,-0.9657830875616868,1.2075649629713725,4.445999999999666,0,,nan,crossed,0.9037050801563584,0.9029145446690645,-0.9657830875616868,-0.0004617919286290997,0.0009681886827381172,True,,0.9120779419899918
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,2,640.0,9.8,0.44922027922805596,37.72611871834702,success,0.0,0.0,0.0,0.0,success,success,success,0.6363012705087884,success,nan,nan,nan,1.0,0.0,0.639020051589296,166.26873292673034,4.841807234383655,-37.743110500979725,1.636823844283176,-0.7746686251812658,-1.1229369818693824,-0.5853410092875139,1.0523093165233883,4.3299999999996786,0,,nan,crossed,-1.1218632354563773,-1.1219146877697872,-0.5853410092875139,-1.2344694976495458e-05,6.740941730980523e-05,True,,0.9168521799729206
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,3,748.9753818882774,12.75027083899565,0.4818817041034545,125.55885459648808,success,0.0,0.0,0.0,0.0,success,success,success,0.7082324772684128,dropped,nan,nan,nan,1.0,2.0,0.644445427104614,212.90696014477183,4.839677792109032,-125.52476525738129,162.36194707843882,26.066725048985234,56.7568914149772,-9.285509537200479,1.4985707462824465,5.77199999999952,0,,nan,crossed,198.09396660328082,201.254032407576,-6.208762825324893,-0.014436812356038754,2.2502900184879016,False,orient: dropped,1.1723308250075206
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,4,757.2669548392028,13.057588102387857,0.44411093929905343,-83.09735045608838,success,0.0,0.0,0.0,0.0,success,success,success,0.7090844323214063,slipped,nan,nan,nan,1.0,0.0,0.6385341072284619,195.1897597816339,4.852893437250372,83.12122204341318,74.08798004138812,0.49881995077517627,-43.12180867163917,1.221160407270772,1.3024120146097986,4.633999999999645,0,,nan,crossed,-43.1147982823189,-43.11480054599826,1.221160407270772,-5.355934749172914e-07,2.480544817657583e-05,False,orient: slipped,1.015879140002653
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,5,677.10516575999,10.958364765619342,0.5175007125811674,94.51770812942895,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,crossed,580.702295445208,580.702295445208,91.60629512614976,0.0,2.244249996122296e-16,False,grasp: unreachable,0.5504142690333538
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,6,692.2914920189532,11.874701973257741,0.48783221735211885,142.18553355838563,success,0.0,0.0,0.0,0.0,success,success,success,0.5838800407171226,slipped,nan,nan,nan,1.0,1.0,0.6443140699820161,203.81242848249116,4.900203861450958,-142.15624584298294,226.73571917930926,-5.288156901240385,-46.073009659204466,4.090418225332094,1.0120750490866812,5.321999999999569,0,,nan,crossed,-46.07766664699642,-46.08723227309986,4.090418225332175,-0.003378733731116588,0.008612486953650595,False,orient: slipped,1.121447267010808
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,7,783.2107537596972,14.114572094892534,0.4286288195499267,-88.01835850143354,success,0.0,0.0,0.0,0.0,success,success,success,0.7828739400679555,slipped,nan,nan,nan,1.0,1.0,0.6372665117834977,205.33549128764756,4.906845668100512,88.03352747684467,179.2543559058752,3.6505048311922526,-33.302158423660686,0.10764752659179477,1.5974087551443876,5.061999999999598,5,g_finger_left_arm/rail_far,4.309999999999681,crossed,-33.30100762543486,-33.28717178432328,0.10764752659179477,-0.0008326482174070306,0.015743218951293374,False,orient: slipped,1.0269708480336703
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,8,800.0,14.730733792662134,0.48887983299172755,-2.769757753198743,success,0.0,0.0,0.0,0.0,success,success,success,0.05349157208703514,success,nan,nan,nan,1.0,0.0,0.643684025316007,200.96051589968405,4.767447240969891,2.734829593494236,3.8416499792386904,0.12592250344450087,0.1744995970004437,-0.5386523336326097,1.1148364307022685,4.099999999999704,0,,nan,crossed,0.17555318852680024,0.17550920088071909,-0.5386523336326097,-2.3034751556061254e-05,7.49509714431684e-05,True,,0.8782274650293402
loin,B-sr20ia-wide_jaw-tilt0-truth-any,B,truth,sr20ia,wide_jaw,0.0,9,673.2070061722019,10.904480017724174,0.5231654154686722,-157.58447924294376,success,0.0,0.0,0.0,0.0,success,success,success,0.44255205857639474,dropped,nan,nan,nan,1.0,2.0,0.6503029664791475,189.84587217379135,4.981416445510312,157.55351835269144,129.11185069759742,-22.738720186816764,57.32319574875522,4.850572248073273,1.4112449366959345,5.901999999999505,0,,nan,crossed,213.9442954605426,213.65087795024286,2.794862083203879,0.17574741194669702,0.2404554037488697,False,orient: dropped,1.0828564619878307
