condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,2.512581051520143,success,124.21458523776855,34.25106189682797,1.1524380759243538,1.0,0.0,0.6670951706810426,116.51717200819414,4.894644882911359,-6.488838246571282,3.1032938069419163,0.23049964818031388,3.932871735726012,-0.013445421418770774,0.6959181575085114,4.099999999999704,0,,nan,cut,4.463855086172086,4.46438394635118,-0.05494024422086776,8.793715899944482e-08,0.0058372578360071994,True,,6.2484348170110025
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,2.153924398007652,success,96.90035162754253,23.373124298369028,0.6876092414683787,1.0,0.0,0.6794984608630732,85.50328642126827,4.583054973971379,-7.860643227511544,2.6311462213085828,-0.6150165540388851,0.4605707501249279,-0.7833828909587616,0.7288996619374564,4.099999999999704,0,,nan,cut,-0.01848602067500149,-0.021655977611167998,3.2609591082699665,-3.103958019180767e-08,0.006450085447559334,True,,6.735192232998088
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,2.3949156531212794,success,123.70211492467476,36.212859348932625,1.2762549484645296,1.0,0.0,0.6832018302665595,116.68981051884828,5.128055588131897,-7.524057965158454,1.2347601906567183,-0.10578971614875142,0.17734091736923419,-0.3157274090682033,0.6942180260701941,4.099999999999704,0,,nan,cut,-0.006865836968239503,-0.00728463802174284,0.016064024837640346,2.27280020315825e-08,0.005810174123793418,True,,6.97213465400273
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,0.5487862526645754,success,103.86046581300717,25.99417997591224,0.7938781210803671,1.0,0.0,0.6919850794288642,97.13023842920165,4.916944473463136,-24.634970221771265,2.362755490242946,0.9338736936454296,0.7437751681067806,0.7983755606887898,0.7161543974913719,4.207999999999692,0,,nan,cut,5.612571693508206,4.850086296494249,8.91575690992775,-0.9026521142257771,0.44092372053278917,False,cut angle +8.9 deg,5.740331481967587
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,2.8246723865849286,success,112.19965983364152,29.341351611917084,0.940574856570741,1.0,1.0,0.6416578809730731,117.20979440863806,4.270013691859642,14.602492008105951,22.039708051083675,6.17318220840639,2.501784264156898,-0.6634450653152789,0.7806620275900928,4.49999999999966,0,,nan,cut,2.3860662699697888,2.3852792534480027,0.11057352979565178,2.2824805393867523e-08,0.005876036677660779,True,,6.290399299003184
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,0.888773744948528,success,125.94580308103792,32.902388131303226,1.0670480957430613,1.0,0.0,0.692446599889993,113.44342991544642,4.907038973811062,-18.292659762353995,2.4155366600740904,-0.6378406878731858,0.692056481740061,-0.8019015328081984,0.7003536856899113,4.1379999999997,0,,nan,cut,0.6025043743663194,0.6008961525564294,0.3480828827545558,2.5360941530210354e-08,0.0060417428197946915,True,,6.527415727963671
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,2.1911746493439983,success,99.18586986139293,24.971712163987267,0.7561360872569034,1.0,1.0,0.6949232184262132,91.06301345206617,4.70951004620801,-27.49223285499473,3.1074003459250066,1.0740993792019717,1.2080529385235794,0.11468831697834747,0.8406895040800696,4.637999999999645,0,,nan,cut,1.2112803723484666,1.209827183103973,0.12841442041228404,8.212407193035267e-08,0.005972706483373933,True,,6.240444539987948
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,3.767981246326055,success,107.67407911200083,26.03174727080601,0.7995285461132503,1.0,1.0,0.6417310410731419,112.01899312540306,4.6938277734651646,16.97874231607888,15.57061622341372,0.14742565277480332,1.7025470328560222,-0.40709134530707,0.8304134351478438,4.521999999999657,0,,nan,cut,3.5729841672265117,3.2483330754747852,2.942969428682711,-0.7658664417469777,0.09965034503694281,True,,5.528741356043611
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,4.760989308425783,success,146.9748192322955,40.665215053508376,1.3994759708684321,1.0,0.0,0.6652905404748305,123.53869353186553,4.505521675342905,0.35366454549951654,2.3074054926633165,-0.41927904577101716,1.3572334407590259,-0.8894460836559348,0.7155805040391412,4.099999999999704,0,,nan,cut,1.3154367178624948,1.3145380339706914,-0.8833597460344033,8.467946950584645e-09,0.005903735883117034,True,,6.9041000379947945
A-sr20ia-jaw_geh6180-tilt0-truth-square,A,truth,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,3.6178194451776577,success,99.66732176817325,27.116909981551636,0.874074160488218,1.0,1.0,0.6377969214875455,89.19981846064096,5.202675120079658,30.416320962199514,3.6160314107487173,1.3141090140223868,0.8975303867099493,-0.8316709161611674,0.8671473556422666,4.6659999999996415,0,,nan,cut,-0.28192320787417957,-0.874787178270553,8.030835622687894,-0.7022037148540946,0.25969416646493926,False,cut angle +8.0 deg,6.6794292139820755
