condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,25.215297794277255,success,124.21458523776855,31.252843425882126,0.9912368770985199,0.6659089724736327,122.06999079548643,5.726677284961457,-1.0438568373303483,9.41578728377395,2.762159864052773,3.708550238088498,2.6872254348761526,0.584474605217094,3.64999999999972,0,,nan,cut,4.560244844128036,4.075641195451896,2.0114175590376675,-10.126729726606976,16.465577973352033,True,,1.5812937730224803
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,18.116601082381482,success,96.90035162754253,21.674543372202876,0.6070829200571962,0.6775737082128575,88.23010983352151,5.299576092525182,-2.4787020309365233,2.1161711419200806,0.8487245360315171,0.9962305250352521,0.9747808925705466,0.6293913438707522,3.64999999999972,0,,nan,cut,1.949059575881651,1.4486838197646512,5.017888742332452,-0.6829656361732648,0.29868278037979723,False,cut angle +5.0 deg,1.3581352030159906
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,24.902271311403325,success,123.70211492467476,33.39311013139865,1.1145395590386518,0.6742324961784986,121.68495525290776,4.986907531669749,-1.387114189605539,0.6791751805676532,0.047044866067724726,0.49863856090540115,-0.024837950409497857,0.5905881538619857,3.64999999999972,0,,nan,cut,0.4322779588762926,0.4317744602013729,0.10487923603513116,1.4677025799737722e-08,0.005815751528829672,True,,1.420693205029238
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,23.61563787298558,success,103.86046581300717,23.658807975437487,0.680125097099494,0.6934612530367489,101.12698057485566,4.985775274962467,-23.933198640518725,2.1410165013459976,0.3795432821246924,1.4663730629869975,0.35718456686624117,0.565489506085382,3.64999999999972,0,,nan,cut,6.035685977752337,5.797336261216978,8.607449317262642,-0.272391146835673,0.24635163085078898,False,cut angle +8.6 deg,1.3794750539818779
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,28.12470732391994,success,112.19965983364152,26.18703731929314,0.7815137539217762,0.6368870391714078,124.15946325370514,5.110905624814865,15.25995534535668,9.02026646384301,2.6487715888563295,7.473224780427695,2.3720422448852183,0.5309220038240792,3.64999999999972,0,,nan,cut,7.491406089403241,7.505867563649127,2.832246071159829,-0.10551622348337765,0.041660172071978974,True,,1.4240986480144784
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,21.782232151315444,success,125.94580308103792,30.258098172325017,0.9318311887668753,0.6870606052663812,116.86139440372222,14.663215363072247,-21.495120576818568,4.594398122201878,-1.6478590994148206,1.9571561674906757,-1.66322212363123,0.5040281202758295,3.64999999999972,0,,nan,cut,2.02643507818695,2.024748904812801,0.6560053023332372,2.3642487835815614e-08,0.006049818181556983,True,,1.4448313629836775
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,23.28555747910537,success,99.18586986139293,22.721551106951267,0.645859104705929,0.6973361723806434,95.35141513995565,5.553881005165073,-27.045162628376833,4.051059515960346,1.2257609218033345,1.9282669165990585,1.338622665118017,0.5767912646417148,3.7019999999997144,0,,nan,cut,1.9221881751483871,1.9203951221640203,1.3554275112498986,7.887723448932745e-08,0.005983363260708916,True,,1.440946141956374
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,29.911494611321316,success,107.67407911200083,23.041880095152166,0.6607015252594607,0.6400215566168488,119.33713122695447,2.341160539114373,21.48089966033103,14.08905499757173,5.214673168151166,8.608355167159381,4.735967746337809,0.6277368831383462,3.64999999999972,0,,nan,cut,9.402604664083658,9.218373128219659,5.433731830464146,-0.2846102210273093,0.03373433611457968,False,cut angle +5.4 deg,1.4831991589744575
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,12.644088212543346,success,146.9748192322955,38.731717048827036,1.2929986836299547,0.657617959067773,126.09415617036682,4.9823223586398235,3.2035804241244223,1.7943459171730978,0.7554746105211427,0.953739211923571,0.5670934481477719,0.597257174362919,3.64999999999972,0,,nan,cut,0.9324481311115962,0.931494737362315,0.5670958015171795,5.4034825149945466e-09,0.005874402601977309,True,,1.4236392289749347
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,27.091733293113855,success,99.66732176817325,24.567164145186723,0.73956799821838,0.631310329069391,95.37363278897047,4.998960334389957,34.74774720879942,14.757085698567684,5.003444060921641,6.8964544102549095,4.7267471824708505,0.6511061992870959,3.8299999999997003,0,,nan,cut,12.43200534415495,12.260611964071465,12.957684901049381,-0.1033856654782133,0.16282543654871415,False,cut offset +12.4 / +12.3 mm,1.3916164279798977
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,-6.637648539755736,-6.637198604784011,-24.59323925318268,7.351386512997553e-08,0.005567694930615381,False,grasp: unreachable,1.1618114709854126
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,0.0,0.0,0.0,0.0,success,success,success,9.85649011229612,success,101.14320677539571,23.11085717457323,0.6596745015201471,0.6585171394879341,91.6594103882772,4.9804597240735715,6.841576799261285,4.965322879740093,1.9166206306416942,1.688490087672384,1.790395387882129,0.6063042150917181,3.64999999999972,0,,nan,cut,1.6919353245039015,1.68952281430379,1.7902901946442353,5.661109988636836e-08,0.006129132034840297,True,,1.3745243520243093
A-sr20ia-jaw_geh6180-tilt0-truth,A,truth,sr20ia,jaw_geh6180,0.0,12,655.0,9.0,0.48268194937591763,-24.456209583760256,success,0.0,0.0,0.0,0.0,success,success,success,29.063862008032373,success,88.29,18.816473368260827,0.5051629714241085,0.6373264117561643,94.80084506109367,0.8149562005895783,29.246009267590225,14.377145692758232,5.150374927512174,9.312408125089572,4.9719189283181615,0.6039348199587407,3.7379999999997104,0,,nan,cut,9.875530705427792,9.58569271510129,5.636458418454017,-0.5424614565978249,0.15967248287455185,False,cut angle +5.6 deg,1.5695097870193422
