condition,approach,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,select,acquire,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,success,success,0.6659036554673059,121.76710979653183,5.148648814762624,-1.1802735218758198,8.887815804270195,2.183331471446491,2.706623656505619,2.234749739076675,0.594468906657102,3.64999999999972,0,,nan,cut,3.2082377172207854,3.193028411317078,1.6208275948825797,-0.8285527589320107,0.18698781774973824,True,,1.4748861229745671
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,success,success,0.6774208465428255,86.97592827495905,5.2964249269897845,-4.105388452571933,1.9065895522787415,0.4615793973268433,-0.007417076608257078,0.45992627339015957,0.6198992444104274,3.64999999999972,0,,nan,cut,0.43212697001726585,0.4287616274887829,4.438958809691457,-4.6253903454994386e-08,0.006471102251819231,True,,1.518180548970122
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,success,success,0.674223992496106,121.70102703291647,5.057585250771268,-1.3820876178379102,0.5897473885071188,0.058795956110540094,0.2803527373282655,0.24012086581950248,0.5890794714533993,3.64999999999972,0,,nan,cut,0.2784253737315723,0.27794946768233686,0.3694961242183982,1.7615781992097656e-08,0.0058102806624718275,True,,1.490176077990327
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,success,success,0.693458167028745,101.2574954584439,4.873890593296237,-23.92239909899887,3.1248861348502,0.42112408309200733,1.5290036231403181,0.4350412670346335,0.5643134541194254,3.64999999999972,0,,nan,cut,6.244932019712158,6.072168210647433,8.66801207444114,-0.22911079596690292,0.057619016475212705,False,cut angle +8.7 deg,1.4848840769845992
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,success,success,0.6369478620743622,124.3065962730298,4.996267125781495,14.032599774025439,10.805771150823253,2.3414184869861296,6.900987817369336,2.201187723748807,0.5281431374752787,3.64999999999972,0,,nan,cut,7.111133236162526,7.110869777586459,2.668332541129581,6.887767234855597e-08,0.005796245789117808,True,,1.492439478985034
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,success,success,0.6870488428320315,117.0049766041505,14.730385487799147,-20.885155613735876,5.774467267697326,-1.4866723278375107,1.6665725414261312,-1.3688413054568087,0.5040972531485656,3.64999999999972,0,,nan,cut,1.8966073551672236,1.8949072715025994,0.7499777033463403,2.332815997775594e-08,0.006050129608514344,True,,1.586285589961335
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,success,success,0.6972804688582952,94.4876631883835,5.347428899954765,-28.03424121509809,2.764731300948474,0.45310764414114274,0.8548617777834056,0.48937944563455943,0.5852403271149855,3.7179999999997126,0,,nan,cut,0.8500853324275859,0.8484052738215175,0.5119280237139335,8.04163303441251e-08,0.005979662836633803,True,,1.4946261690347455
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,success,success,0.6400367232472036,118.93045680309991,4.813691087773186,20.66313059237837,16.63263448279569,4.143089236924579,7.311164767371231,3.7107641309864414,0.6029995791722729,3.64999999999972,0,,nan,cut,8.425184903263938,7.747822888678257,4.70194705152193,-1.2211897257934257,0.17430377654050916,True,,1.5778042189776897
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,success,success,0.6575580417985161,126.11395914701187,4.97160669115293,3.0923846758307185,2.887775528637407,0.6852622700425027,0.46186127649397446,0.65785919300736,0.5990249290828481,3.64999999999972,0,,nan,cut,0.4418048543627928,0.440843152115622,0.6579298584593793,5.176390910738051e-09,0.005872867034576975,True,,1.5555832689860836
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,success,success,0.6313148728494667,95.40020074534976,4.999970399911957,34.76765570035902,16.73738919135506,4.978611588685634,6.324270494030198,4.781938704669955,0.6515684798262047,3.8299999999997003,0,,nan,cut,11.727499323235136,11.341191220161416,12.992091915909855,-0.2960628790066229,0.2301240510026119,False,cut offset +11.7 / +11.3 mm,1.566804927017074
