condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,25.215297794277255,success,0.6659089724736327,122.06999079548643,5.726677284961457,-1.0438568373303483,9.438494341169761,2.7683751121948985,3.73133461086908,2.8015496467040246,0.5849970897361597,3.64999999999972,0,,nan,cut,3.7273536706186605,3.6970176756656037,2.134152477726068,-0.5240303212054254,0.1316616715532485,True,,4.817390043055639
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,18.116601082381482,success,0.6775737082128575,88.23010983352151,5.299576092525182,-2.4787020309365233,2.1700766294578657,0.8677112310525569,0.8214786746101044,0.9986558864535668,0.6291255706619683,3.64999999999972,0,,nan,cut,1.6586235300800611,1.6557328102547175,4.926598545458925,3.3347734168583196e-09,0.0061269630304123315,True,,4.4926799180102535
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,24.902271311403325,success,0.6742324961784986,121.68495525290776,4.986907531669749,-1.387114189605539,0.6815090448299389,0.046286609855018,0.17668056416683675,-0.003293891575053233,0.5906308621871349,3.64999999999972,0,,nan,cut,0.18068084458627842,0.18018697949012674,0.11164431623611339,1.5539299618319934e-08,0.005814525329454663,True,,4.533772832015529
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,23.61563787298558,success,0.6934612530367489,101.12698057485566,4.985775274962467,-23.933198640518725,2.1643168106896526,0.3831580584845437,1.569267671638369,0.44738290604602604,0.5656762367420501,3.64999999999972,0,,nan,cut,6.074966278270699,5.9303758968228815,8.582634434772,-0.1610470598449431,0.19596946641165208,False,cut angle +8.6 deg,4.655935991031583
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,28.12470732391994,success,0.6368870391714078,124.15946325370514,5.110905624814865,15.25995534535668,9.505138286265788,2.805301833490649,7.821237275012632,2.607279871240802,0.5306379342231701,3.64999999999972,0,,nan,cut,7.925728247682063,7.924915223045003,3.0449548037100023,2.7716816549426558e-08,0.005828801751584175,True,,5.251903547963593
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,21.782232151315444,success,0.6870606052663812,116.86139440372222,14.663215363072247,-21.495120576818568,4.6010887577615955,-1.6499182483120036,1.8188515176134346,-1.538899195626673,0.5029747087604567,3.64999999999972,0,,nan,cut,1.968799013301159,1.967132186506959,0.8583784718138808,2.4408365403112032e-08,0.00603735817337415,True,,5.136530121031683
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,23.28555747910537,success,0.6973361723806434,95.35141513995565,5.553881005165073,-27.045162628376833,4.125008569845718,1.2452201397607516,1.9641952806664087,1.408384457960548,0.5768790750835624,3.7019999999997144,0,,nan,cut,1.9621489775550338,1.9602640245579561,1.4106807484359414,7.090283329199359e-08,0.006008126893218936,True,,4.852024697000161
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,29.911494611321316,success,0.6400215566168488,119.33713122695447,2.341160539114373,21.48089966033103,14.618730682895956,5.3701472703777124,9.241706115844378,4.96582904110931,0.6299723036574407,3.64999999999972,0,,nan,cut,10.48532891750481,10.371164339432026,5.943205136475906,-0.14330740808995,0.08320736971712073,False,cut offset +10.5 / +10.4 mm,5.614409686008003
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,12.644088212543346,success,0.657617959067773,126.09415617036682,4.9823223586398235,3.2035804241244223,1.5859453148680653,0.673541425668763,0.9003468549902693,0.6565965856692197,0.598007822544082,3.64999999999972,0,,nan,cut,0.8803341807337994,0.882209933959599,0.6570814160668852,1.4794221606418416e-07,0.006197847185266813,True,,4.868918958003633
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,27.091733293113855,success,0.631310329069391,95.37363278897047,4.998960334389957,34.74774720879942,14.785210898946762,4.895840683969202,6.742386893591773,4.640374141845379,0.6511627008552521,3.8299999999997003,0,,nan,cut,11.8590982776986,9.369128839070706,12.861469173840435,-1.9029395530112119,0.9718918047300342,False,cut offset +11.9 / +9.4 mm,3.606212892977055
