condition,approach,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,select,acquire,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,success,success,0.7568229674233008,121.0032644411439,4.981171019222463,-1.5238435061584585,0.8614526819416591,0.085713378757298,-0.1103199014388101,0.049388315370081926,0.6520441486982378,3.8499999999995764,0,,nan,cut,0.36319846988935867,0.3743715676409187,-0.12047225158495052,-0.020992194602495313,0.01333256998107966,True,,1.816365618025884
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,success,success,0.7700646861811153,86.65607783955319,4.99164452642753,-7.967875446208675,2.509135483600307,-0.49456500797677244,0.2651350711888323,-0.5562165399736994,0.661319985418866,3.8499999999995764,0,,nan,cut,-0.03347019410471219,-0.03574931571925788,3.3053285424132763,3.8859355542747506e-08,0.006054113529735574,True,,1.74778477702057
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,success,success,0.7742839180037902,120.23144945661825,4.980256759051116,-4.498333997957794,1.3718510942384783,-0.09779879347506394,0.012522405207132659,-0.1648599607916318,0.642168595695556,3.8499999999995764,0,,nan,cut,-0.09173026345493662,-0.09221934455438952,0.13417156468338215,1.605267931056432e-08,0.005813871080857597,True,,1.7722940950188786
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,success,success,0.7719259667414947,100.87834666970888,4.984618867995061,-23.478839964198997,5.444359052029726,0.930959595946453,4.4779725739932665,1.2246107208209367,0.6300345746062057,3.8499999999995764,0,,nan,cut,9.752309029661067,9.478972267559227,9.253327053571168,-0.2921479203091436,0.2004370414743419,False,cut angle +9.3 deg,1.7571295369998552
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,success,misaligned,0.7372017076210415,122.83218502687224,4.979589347632207,14.513374569867675,1.236525000950998,-0.15525345037225355,10.647393560344248,-2.929489478164894,0.6022079113933586,3.8499999999995764,0,,nan,cut,10.510471044747948,10.509751752611818,-1.6892059976935134,2.513608903644961e-08,0.005892435857588152,False,orient: misaligned,1.8737886169692501
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,success,success,0.7782528320177181,117.63079886818507,4.9813027430440915,-15.639308842362624,2.6979964272975305,-0.22633933303621218,1.8418816838560448,-0.13616422681044457,0.640207225421221,3.8499999999995764,0,,nan,cut,1.8275975543462497,1.825940452112873,-0.1325699568199045,2.3844096835964224e-08,0.006072171380979162,True,,1.6810809320304543
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,success,success,0.7730231371596283,94.80428181982606,4.9845059594281205,-26.851645424893682,6.198087713580874,1.4031170804070292,4.468480943693315,1.440391557115035,0.6421643385901842,3.897999999999571,1,g_finger_left_pad_fore/belt_surface,1.071999999999882,cut,4.466448852979033,4.464636045060311,1.4529916733706207,7.552426829969116e-08,0.0060284193025961635,False,arm collision,1.7597047539893538
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,success,success,0.7292302945035466,115.40847666310341,4.983744790402533,19.534681936962038,5.983041293210198,1.6688625074276677,-1.1802903491876238,1.7392736452942987,0.6625049672319885,3.8499999999995764,0,,nan,cut,-0.6176858639574401,-0.759634222468275,2.3923676957256568,-0.3318381525050478,0.0856230026368533,True,,1.9824572959914804
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,success,success,0.7606579219266791,125.70406969957362,4.979112901846383,7.089232268350137,1.1011537547468933,0.36952176949895094,-0.4672625758196658,0.5141427178205414,0.6698516025410401,3.8499999999995764,0,,nan,cut,-0.489407940231279,-0.49035473075959013,0.5145477055363612,5.760887805659964e-09,0.005877203816540534,True,,1.9325414160266519
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,success,success,0.7313662916729458,92.81049443164216,4.956417610017194,32.86033696627498,2.824946736925132,0.8970868367545992,0.0808489866862272,0.8115378788839185,0.6853956749879886,3.99799999999956,0,,nan,cut,-0.6636391570146172,nan,2.134458005393607,-59.456955421710674,87.56217205267427,True,,1.7469824469881132
