condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,22.632208966998757,success,124.21458523776855,31.725867983725497,1.015988924211988,0.7568348957002833,121.00265396490924,4.981169618499259,-1.525408151809775,1.0025644832848097,0.2573347946716142,1.0612672113377852,0.18849718556334283,0.6524615176236376,3.8499999999995764,0,,nan,cut,2.4113815235060065,2.4476386149425156,-0.4134986071231203,-0.4171682176857979,0.09435552835036752,True,,1.7356217370252125
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,9.044534980685821,success,96.90035162754253,22.514263983059152,0.646185814595312,0.7702346636087031,86.88193401228472,4.985704789075451,-4.519365209033745,0.4113638436019657,0.10122538530088282,0.11407573842261987,-0.5289405988596687,0.6727543482416791,3.8499999999995764,0,,nan,cut,-0.10637938618818232,-0.11024525595720869,3.418801949176895,-7.995663841490382e-08,0.0068282973229373874,True,,1.701143881015014
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,20.499779193705713,success,123.70211492467476,33.90774563328693,1.1433384377671305,0.7742951551226442,120.75596259470372,4.980895260632057,-3.094493488199308,1.2037413058445912,0.29029430410864626,0.2553283290539776,0.003418866340924863,0.6468445355376977,3.8499999999995764,0,,nan,cut,0.259240475272593,0.25876791905543595,0.11446541348109937,1.77307526827232e-08,0.0058128680454530585,True,,1.659150680003222
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,22.86784860847991,success,103.86046581300717,23.81672897096443,0.6876576101773056,0.7719287640347333,100.87796836278261,4.984618158745957,-23.480167627812044,5.533105872270325,1.0239245240597858,5.427860374042664,0.5970680634166067,0.6288313858123159,3.8499999999995764,0,,nan,cut,10.256445196665299,9.879979948004936,8.738800206538762,-0.4679171652489412,0.22435532897073499,False,cut offset +10.3 / +9.9 mm,1.656322608992923
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,25.161448644293735,success,112.19965983364152,26.584312185847825,0.800657672161265,0.7373345205195379,123.04432151203021,4.9716049451365985,14.310065457942907,1.0199098980997632,0.07306363230184833,2.8795507182006466,-0.5392714683850568,0.6042890043107192,3.8499999999995764,0,,nan,cut,2.9886033302037873,2.98771766697703,0.24182844009501286,1.6961770894057675e-08,0.005890765756607827,True,,1.8019717399729416
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,24.778756657179844,success,125.94580308103792,29.959686587292282,0.9176316446909678,0.7782655152496186,117.63047806976344,4.981208202859744,-15.636745078181061,2.374291333026899,0.1344311499893546,1.1630928424576636,0.1460608245392183,0.6375176671635733,3.8499999999995764,0,,nan,cut,1.1471367686711198,1.1455495326084808,0.14935582763505503,2.5994991467069468e-08,0.006043891936637186,True,,1.6522991770179942
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,22.02093756844576,success,99.18586986139293,22.896773606166445,0.6541527223572128,0.7730709724990023,94.86066918803557,4.984902667597546,-26.72969520671624,6.742532220698892,1.5935726797641432,5.783875953259216,0.9887464926302296,0.6423279851895634,3.8959999999995714,1,g_finger_left_pad_fore/belt_surface,1.071999999999882,cut,5.779018902098809,5.777406212187419,0.9902297350184216,7.347749230663832e-08,0.006138189842319045,False,arm collision,1.6504929959774017
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,23.959451924381273,success,107.67407911200083,23.4197241857644,0.6773070581369626,0.7292595381481745,115.43442665429652,4.981101843500757,19.545569413545977,3.365751190227933,1.4806072461562743,-0.5045240365582349,1.5903560472927982,0.6621363735460726,3.8499999999995764,0,,nan,cut,0.09062732434333975,-0.046183169585489736,2.3051518338967316,-0.44217082302000144,0.03229459439893252,True,,1.789920646988321
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,15.42178597764736,success,146.9748192322955,39.263094365809145,1.3223301648001806,0.7607322236781144,126.02817012353509,4.981639032910379,8.56697375335555,2.6783089324922424,0.8944705695506657,0.6675440060243953,1.0472827507425304,0.6784537029272643,3.8499999999995764,0,,nan,cut,0.633933418500765,0.63300266460381,1.0519181124185415,6.609854183454932e-09,0.005862477602884944,True,,1.8012278790120035
A-ur20-jaw_geh6180-tilt0-truth,A,truth,ur20,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,20.16808664165407,success,99.66732176817325,25.13555854388437,0.7683605972921911,0.7313849932325521,92.80269152427839,4.956498986239732,32.87762081984598,1.9775886168113848,0.7852585901437706,1.0215311306215058,-0.19395662943091369,0.6796713268668979,3.99799999999956,0,,nan,cut,1.0914379056540247,0.4663313295887317,8.491504240521214,-0.6022710573451958,0.44875125461132426,False,cut angle +8.5 deg,1.7315180490259081
