condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,2.5222152061058787,success,nan,nan,nan,1.0,0.7019335338041012,116.4112873573642,5.101952709461233,-6.46389816339181,5.337661817146896,0.8274219616546821,4.444797041356169,0.8929762848902415,0.7004656303959382,3.7999999999997036,0,,nan,cut,6.026510479902603,6.055352675641168,0.10716720439643423,-0.14762515216048558,0.04759941871628016,True,,1.5381141430116259
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,1.8269482955018468,success,nan,nan,nan,1.0,0.7155280132321582,85.6945436331505,4.66174899823002,-7.859239974334289,1.6884237087855274,-0.5087848831446004,0.5161602299744439,-0.42215088532025974,0.7308553361180673,3.7999999999997036,0,,nan,cut,0.3656905532467003,0.3621475986591016,3.3409068632562806,-5.626929203586084e-08,0.006641639447911061,True,,1.3796453090035357
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,2.5476422560936856,success,nan,nan,nan,1.0,0.7154073672361584,116.72526721058267,5.013514595027524,-7.598434005382646,0.6185076616817508,-0.11307008318931097,0.15690242995533565,0.02930433274727131,0.6948292920330067,3.7999999999997036,0,,nan,cut,0.1335983196569801,0.13309610410816575,0.11793614196646217,1.4726578841674924e-08,0.005815351086235794,True,,1.4685501200146973
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,0.49182983932438956,success,nan,nan,nan,1.0,0.7333922884752179,97.1301649265384,4.938969475296817,-24.546663632541435,3.8480618554760087,0.8093090949080479,1.5439293099962226,0.9274331574333429,0.6875210115684842,3.8099999999997025,0,,nan,cut,6.687764055693046,6.002200954545067,9.180449546126836,-0.8026420508425051,0.40292283697106596,False,cut angle +9.2 deg,1.4929361550020985
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,3.0070174404277967,slipped,nan,nan,nan,1.0,0.661335591983184,117.39443705782166,4.205830367146057,14.734529416223422,24.576502417327074,6.418732402509074,16.381368739178086,6.262520912362893,0.6683478262537086,3.7999999999997036,0,,nan,cut,16.31693218190672,16.317218001895007,6.58066108168446,9.748297048714e-08,0.00589808029555819,False,orient: slipped,2.244788176030852
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,0.8202707553466309,success,nan,nan,nan,1.0,0.7304514306286657,113.46797908715507,4.932517714060558,-18.348096112076902,1.9877422867736776,-0.7754080264007287,1.254817290704341,-0.5115086991632088,0.6861119203707929,3.7999999999997036,0,,nan,cut,1.3411918414159008,1.3394723293793653,0.4173403031644967,2.2764349410482264e-08,0.006066988147324436,True,,3.0789526940206997
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,2.3980905743170426,success,nan,nan,nan,1.0,0.7370689681413135,91.05814600902575,4.773991224497176,-27.37384631432696,5.151309682382368,1.2924801987716459,1.698499590591901,1.5047944404063893,0.6980441525601926,3.8579999999996972,0,,nan,cut,1.6925080206581788,1.6906207564876263,1.521416297244927,7.246694102880627e-08,0.006003954692247211,True,,4.3011286510154605
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,3.8916363807443877,slipped,nan,nan,nan,1.0,0.6639530545732193,112.03445797135201,5.0177520127339115,16.918920922216532,15.831633922819346,-0.1007363791762289,17.631553389745285,-0.07976554702182583,0.7067784756351609,3.8079999999997027,0,,nan,cut,19.871074863491767,19.747320454301775,3.7097685553979436,-0.22294767113003716,0.027104978114053897,False,orient: slipped,5.522798425983638
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,5.2330636300602364,success,nan,nan,nan,1.0,0.6957634221630865,123.63634533572167,4.364230968823879,0.0915623511638086,0.6022142997500206,0.006043000250133258,1.9017819499581312,0.012878139985847586,0.7169607686323085,3.7999999999997036,0,,nan,cut,1.8812104445742883,1.8802954678268646,0.012961169296310634,7.50297938244734e-09,0.005883697027000282,True,,7.24095121602295
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,3.8185638626582343,success,nan,nan,nan,1.0,0.6495805180622911,89.33824083403445,4.824400735769507,30.263580309032015,4.392399852880582,1.1822201807420194,3.559076977424053,0.7111931306137184,0.7393905394031501,3.905999999999692,0,,nan,cut,2.7645439001377503,nan,2.2136198574257056,-59.44703962949986,87.10244670484406,True,,6.6141126229777
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,-6.622120551907251,-6.621767284899327,-24.593559736146894,6.32134734052125e-08,0.005632634213528415,False,grasp: unreachable,5.745893919025548
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,0.0,0.0,0.0,0.0,success,success,success,4.509973501788632,success,nan,nan,nan,1.0,0.6916200422772132,90.39285687240495,4.918935425297533,1.7048120528841162,1.127157453759012,-0.015481461930065438,0.3593785259863036,-0.16196092524964573,0.7156853266920941,3.7999999999997036,0,,nan,cut,0.3582527413711345,0.3564464436223158,-0.16207341521695073,8.629388089550115e-08,0.006031556251249715,True,,6.665332874050364
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,12,655.0,9.0,0.48268194937591763,-24.456209583760256,success,0.0,0.0,0.0,0.0,success,success,success,1.7716304672441587,success,nan,nan,nan,1.0,0.6593967248863264,86.66384544700139,4.996626249510472,24.39309979081515,8.325944960489934,2.8864951978141473,3.6606515288356842,2.5334310816364924,0.703953018245645,3.8079999999997027,0,,nan,cut,4.056377876281769,4.053673593475027,3.2821598180895832,3.221068586995999e-08,0.006571455624954582,True,,7.150368939037435
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,13,777.7990124502887,14.04976422798892,0.5625833962730592,31.750890841805617,success,0.0,0.0,0.0,0.0,success,success,success,0.3778885726020335,success,nan,nan,nan,1.0,0.7499570492781256,112.68697325938261,4.647989181889356,-31.71886159925748,3.1973557095546616,0.7536795579905052,2.4362810248257647,0.9344157209842621,0.7270348976147509,3.9299999999996893,0,,nan,cut,2.415201598828298,2.4139211525686655,0.9352667768452001,1.0904633503147475e-08,0.005934081293505119,True,,6.983048144029453
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,14,674.0780539077622,9.183354375620448,0.5561697157048568,9.12018670508955,success,0.0,0.0,0.0,0.0,success,success,success,2.4343977043280716,success,nan,nan,nan,1.0,0.7014134809748274,103.20027341993054,5.074469653906899,-9.416839355612545,8.652856727230889,2.3208479411133434,4.103480390456577,2.413472216984263,0.703281097657817,3.7999999999997036,0,,nan,cut,5.801566989452223,5.701946018086213,5.278715805389423,-0.1684418861963942,0.13374274533143082,False,cut angle +5.3 deg,7.34047544200439
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,15,798.7099670858473,14.576243535966583,0.5848874329224438,9.088838469686026,success,0.0,0.0,0.0,0.0,success,success,success,0.463326899470025,success,nan,nan,nan,1.0,0.7062046765647698,102.78929116066776,4.977622956789607,-9.123921211212545,10.299017383368819,2.050172184660148,4.536983391416865,2.2269886938720482,0.6843892026251741,3.7999999999997036,0,,nan,cut,-8.639471026179347,nan,0.5016521841518351,-50.79010967181333,67.34493013884907,True,,8.949824731971603
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,16,745.0666802088937,11.211859465565851,0.4735195229922926,13.75976135602893,success,0.0,0.0,0.0,0.0,success,success,success,5.160655236124508,success,nan,nan,nan,1.0,0.7245098309028772,107.948149671752,5.141075004815643,-13.85049281125845,2.257218875979523,-0.7361169119656122,0.2810943951569722,-0.645544062348476,0.7186343202414043,3.7999999999997036,0,,nan,cut,1.7171834250802598,1.7153832958152204,1.9771077128832197,1.8937989462056943e-08,0.005971130975040652,True,,7.292514228029177
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,17,711.8835922043452,10.092179175588702,0.45915290988116475,20.203570427175766,success,0.0,0.0,0.0,0.0,success,success,success,4.802411543793654,success,nan,nan,nan,1.0,0.7279094990680509,109.20271744991102,5.005361067864644,-19.76495036343941,1.9214261098418732,-0.8153446442331433,0.5089963417073962,-0.6153378399809257,0.7199987785902598,3.7999999999997036,0,,nan,cut,1.7220253385379358,1.6454346239583306,1.5065819815647543,-0.22408614796770926,0.11060053486146174,True,,7.21681404998526
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,18,708.3157658469476,12.370518856145932,0.5003708585656533,-5.822706778753045,success,0.0,0.0,0.0,0.0,success,success,success,2.5374810362632725,success,nan,nan,nan,1.0,0.6783764367380115,110.73371064469535,5.330523160366196,4.416772112512633,10.497226050713616,2.986424748445303,4.637009834550981,3.000101001156777,0.6647444887741273,3.7999999999997036,0,,nan,cut,5.983653616851214,6.103073205833754,2.160156873046351,-0.32608990121628667,0.18458760255636003,True,,8.2259068939602
B-sr20ia-jaw_geh6180-tilt0-truth,B,truth,sr20ia,jaw_geh6180,0.0,19,748.1451303704207,12.340706427625943,0.4165332031590194,-11.807740312381712,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,-41.25095467527318,-41.25059179081314,-11.82386140772754,1.6522208059304437e-07,0.0056903274994197645,False,grasp: unreachable,5.613393880950753
